start_time,robot_id,action,gps_difference,orientation_difference,lidar_difference,radar_difference,thermometer_difference,cardinality_base_distance,action_successful,memory_similarity
0,19,0,0,0,3.0,3.0,0.2819300000000027,,1,0.9577777777777777
0,12,0,0,0,5.0,5.0,0.6413820000000001,,1,0.9661111111111111
0,3,2,2,0,1.0,1.0,0.21585100000000068,,1,0.8387719298245614
0,0,2,0,0,,,0.2228099999999955,,1,0.9539898989898989
0,24,0,0,0,4.0,4.0,0.19124899999999911,,1,0.9716666666666667
0,9,0,0,0,,,1.0172449999999884,,1,0.9767171717171718
0,16,0,0,0,7.0,6.0,0.031175999999994986,,1,0.9661111111111111
0,29,2,0,0,4.0,5.0,0.3262900000000002,,1,1.0
0,15,0,0,0,3.0,2.0,0.18856600000000867,,1,0.9494444444444444
0,14,0,1,0,5.0,5.0,0.27934999999999377,,1,0.8835858585858586
0,8,2,0,0,1.0,1.0,0.7348459999999974,,1,1.0
0,6,0,0,0,3.0,3.0,0.5301649999999967,,1,0.9494444444444444
0,4,2,0,0,1.0,1.0,0.3916500000000127,,1,1.0
0,2,7,1,0,3.0,3.0,0.0912399999999991,32.0,1,0.8387719298245614
0,18,0,0,0,4.0,4.0,0.1808899999999909,,1,0.9577777777777777
0,28,2,0,0,1.0,1.0,0.9642350000000022,,1,0.9155555555555556
0,27,0,0,0,5.0,5.0,0.03611000000000786,,1,0.928015873015873
0,11,0,0,0,5.0,5.0,0.3719700000000046,,1,0.9494444444444444
0,20,0,1,0,,,0.23805200000000326,,1,0.9068686868686868
0,26,0,1,0,8.0,8.0,0.12300899999999615,,1,0.8656432748538012
0,23,2,0,0,8.0,8.0,0.1305459999999954,,1,1.0
0,25,0,1,0,,,1.8736300000000057,,1,0.9572222222222222
0,5,0,1,0,6.0,6.0,0.4495799999999974,,1,0.8583333333333334
0,17,7,0,0,,,0.03515000000000157,18.5,1,1.0
0,22,0,1,0,2.0,1.0,0.24343999999999255,,1,0.9100980392156862
0,10,0,0,0,2.0,2.0,0.110289999999992,,1,0.9369444444444445
0,1,2,0,0,1.0,1.0,2.7896100000000104,,1,1.0
0,21,7,0,0,4.0,4.0,0.929165999999995,11.666666666666666,1,1.0
0,7,0,0,0,4.0,4.0,0.5003320000000002,,1,0.960982905982906
0,13,2,1,0,1.0,0.0,0.4893299999999954,,1,0.9577777777777777
1,6,0,2,0,2.0,2.0,0.09306999999999732,,1,0.8311111111111111
1,16,0,2,0,6.0,6.0,0.0972059999999999,,1,0.845
1,18,3,0,0,3.0,3.0,0.45280400000000043,,1,0.9661111111111111
1,7,0,0,0,3.0,3.0,0.44971000000000316,,1,0.9466091954022988
1,27,7,0,0,4.0,2.0,0.3117639999999966,42.0,1,0.9494444444444444
1,19,3,0,0,2.0,2.0,0.06940599999999364,,1,0.9577777777777777
1,23,2,0,0,7.0,7.0,0.5736580000000018,,1,1.0
1,22,7,4,0,1.0,1.0,2.234266000000005,6.75,1,0.9057575757575758
1,28,0,0,0,3.0,3.0,1.6018200000000036,,1,0.9483333333333334
1,25,0,0,0,,,0.06777999999999906,,1,0.9528787878787879
1,29,0,0,0,2.0,2.0,0.5209250000000054,,1,0.9744444444444444
1,4,0,0,0,10.0,10.0,0.18683999999998946,,1,0.9802136752136752
1,13,2,0,0,,,0.042010000000004766,,1,0.9716666666666667
1,9,0,0,0,,,3.8291599999999875,,1,0.980925925925926
