id	x	y	temperature
29	0	29	56.294216
59	1	29	21.750088
89	2	29	391.01843
119	3	29	383.4375
149	4	29	352.3049
179	5	29	379.36975
209	6	29	71.64749
239	7	29	71.87834
269	8	29	86.70367
299	9	29	39.909145
329	10	29	84.4978
359	11	29	49.01657
389	12	29	115.56459
419	13	29	109.470505
449	14	29	69.49658
479	15	29	25.31321
509	16	29	67.227394
539	17	29	72.713974
569	18	29	74.99524
599	19	29	115.83291
629	20	29	25.617252
659	21	29	23.068216
689	22	29	28.627686
719	23	29	51.706005
749	24	29	21.015743
779	25	29	42.899364
809	26	29	101.86139
839	27	29	108.4722
869	28	29	49.056007
899	29	29	98.348564
28	0	28	97.48624
58	1	28	23.152634
88	2	28	302.74323
118	3	28	321.97223
148	4	28	387.45972
178	5	28	342.9167
208	6	28	102.29159
238	7	28	36.782616
268	8	28	57.963608
298	9	28	56.486076
328	10	28	68.19515
358	11	28	54.85982
388	12	28	61.48937
418	13	28	99.4672
448	14	28	52.552025
478	15	28	59.858845
508	16	28	46.26488
538	17	28	89.33458
568	18	28	20.184816
598	19	28	110.735985
628	20	28	81.80008
658	21	28	107.346245
688	22	28	18.654034
718	23	28	91.090065
748	24	28	46.464252
778	25	28	102.19181
808	26	28	66.90781
838	27	28	56.66818
868	28	28	62.05994
898	29	28	116.07124
27	0	27	64.01715
57	1	27	55.85976
87	2	27	75.87479
117	3	27	29.69896
147	4	27	44.155556
177	5	27	113.058075
207	6	27	53.26823
237	7	27	58.306656
267	8	27	41.357407
297	9	27	75.44018
327	10	27	56.64293
357	11	27	83.63647
387	12	27	93.72224
417	13	27	33.5457
447	14	27	76.870636
477	15	27	104.659035
507	16	27	68.04006
537	17	27	97.834496
567	18	27	32.125217
597	19	27	66.74901
627	20	27	78.151855
657	21	27	69.65306
687	22	27	74.985275
717	23	27	366.46045
747	24	27	390.02786
777	25	27	55.422104
807	26	27	21.36398
837	27	27	25.125961
867	28	27	68.74478
897	29	27	56.82899
26	0	26	44.9553
56	1	26	36.92817
86	2	26	20.983349
116	3	26	68.17668
146	4	26	93.74513
176	5	26	116.451324
206	6	26	21.835674
236	7	26	104.34801
266	8	26	77.93421
296	9	26	78.546295
326	10	26	30.180527
356	11	26	75.63461
386	12	26	117.027
416	13	26	55.609707
446	14	26	93.04393
476	15	26	93.86756
506	16	26	67.79741
536	17	26	40.28794
566	18	26	96.99635
596	19	26	110.60503
626	20	26	40.599323
656	21	26	61.672993
686	22	26	62.8497
716	23	26	70.67106
746	24	26	38.554977
776	25	26	112.26943
806	26	26	106.47781
836	27	26	65.693245
866	28	26	63.792046
896	29	26	19.105547
25	0	25	92.67613
55	1	25	32.28752
85	2	25	109.94662
115	3	25	55.869797
145	4	25	116.725235
175	5	25	93.448105
205	6	25	45.827705
235	7	25	38.21157
265	8	25	105.908875
295	9	25	100.791695
325	10	25	79.335464
355	11	25	54.25817
385	12	25	113.6628
415	13	25	66.409775
445	14	25	39.21808
