id	profile	gps_damage_level	imu_damage_level	lidar_damage_level	radar_damage_level	thermometer_damage_level
0	Normal	Ok	Ok	Ok	Ok	Ok
1	Normal	Ok	Ok	Ok	Ok	Ok
2	Normal	Ok	Ok	Ok	Ok	Ok
3	Normal	Ok	Ok	Ok	Ok	Ok
4	Normal	Ok	Ok	Ok	Ok	Ok
5	Normal	Ok	Ok	Ok	Ok	Ok
6	Normal	Ok	Ok	Ok	Ok	Ok
7	Normal	Ok	Ok	Ok	Ok	Ok
8	Normal	Ok	Ok	Ok	Ok	Ok
9	Normal	Ok	Ok	Ok	Ok	Ok
10	Normal	Ok	Ok	Ok	Ok	Ok
11	Normal	Ok	Ok	Ok	Ok	Ok
12	Normal	Ok	Ok	Ok	Ok	Ok
13	Normal	Ok	Ok	Ok	Ok	Ok
14	Normal	Ok	Ok	Ok	Ok	Ok
15	Normal	Ok	Ok	Ok	Ok	Ok
16	Normal	Ok	Ok	Ok	Ok	Ok
17	Normal	Ok	Ok	Ok	Ok	Ok
18	Normal	Ok	Ok	Ok	Ok	Ok
19	Normal	Ok	Ok	Ok	Ok	Ok
20	Broken	Ok	Ok	Damaged	Ok	Ok
21	Broken	Ok	Damaged	Ok	Ok	Ok
22	Broken	Damaged	Ok	Ok	Ok	Ok
23	Broken	Ok	Ok	Damaged	Ok	Ok
24	ItemDestroyer	Ok	Ok	Ok	Ok	Ok
25	ItemDestroyer	Ok	Ok	Ok	Ok	Ok
26	Liar	Ok	Ok	Ok	Ok	Ok
27	Liar	Ok	Ok	Ok	Ok	Ok
28	Arsonist	Ok	Ok	Ok	Ok	Ok
29	Arsonist	Ok	Ok	Ok	Ok	Ok
