start_time	robot_id	from_position_id	to_position_id	measured_gps_x	measured_gps_y	real_gps_x	real_gps_y	measured_orientation	real_orientation	measured_lidar_distance	measured_radar_distance	real_distance	measured_temperature	real_temperature	decided_action	action_successful	holding_item_id	cardinality
0	19	146	147	4	26	4	26	Up	Up	3	3	0	93.4632	93.74513	StepForward	True		
0	12	652	653	21	22	21	22	Up	Up	5	5	0	22.996313	23.637695	StepForward	True		
0	3	762	762	26	11	25	12	Up	Up	1	1	0	82.423546	82.207695	TurnRight	True		
0	0	815	815	27	5	27	5	Up	Up			0	93.14484	92.92203	TurnRight	True		
0	24	168	169	5	18	5	18	Up	Up	4	4	0	32.292397	32.483646	StepForward	True		
0	9	428	429	14	8	14	8	Up	Up			0	106.272545	105.2553	StepForward	True		
0	16	742	743	24	22	24	22	Up	Up	7	6	0	46.581234	46.61241	StepForward	True		
0	29	499	499	16	19	16	19	Up	Up	4	5	0	114.7508	114.42451	TurnRight	True		
0	15	798	799	26	18	26	18	Up	Up	3	2	0	80.38661	80.198044	StepForward	True		
0	14	190	191	7	10	6	10	Up	Up	5	5	0	74.78799	74.50864	StepForward	True		
0	8	388	388	12	28	12	28	Up	Up	1	1	0	60.754524	61.48937	TurnRight	True		
0	6	296	297	9	26	9	26	Up	Up	3	3	0	79.07646	78.546295	StepForward	True		
0	4	246	246	8	6	8	6	Up	Up	1	1	0	97.6124	98.00405	TurnRight	True		
0	2	104	104	4	14	3	14	Up	Up	3	3	0	78.62122	78.52998	DoNothing	True		1
0	18	785	786	26	5	26	5	Up	Up	4	4	0	111.36742	111.18653	StepForward	True		
0	28	123	123	4	3	4	3	Up	Up	1	1	0	111.341225	112.30546	TurnRight	True		
0	27	35	36	1	5	1	5	Up	Up	5	5	0	76.602486	76.638596	StepForward	True		
0	11	404	405	13	14	13	14	Up	Up	5	5	0	79.92246	79.55049	StepForward	True		
0	20	124	125	4	5	4	4	Up	Up			0	47.574608	47.81266	StepForward	True		
0	26	223	224	8	13	7	13	Up	Up	8	8	0	83.099106	83.222115	StepForward	True		
0	23	411	411	13	21	13	21	Up	Up	8	8	0	46.26899	46.399536	TurnRight	True		
0	25	544	545	17	4	18	4	Up	Up			0	112.66438	114.53801	StepForward	True		
0	5	763	764	24	13	25	13	Up	Up	6	6	0	90.20635	89.75677	StepForward	True		
0	17	157	157	5	7	5	7	Up	Up			0	91.48871	91.45356	DoNothing	True		2
0	22	427	428	14	6	14	7	Up	Up	2	1	0	69.82954	69.5861	StepForward	True		
0	10	657	658	21	27	21	27	Up	Up	2	2	0	69.54277	69.65306	StepForward	True		
0	1	778	778	25	28	25	28	Up	Up	1	1	0	99.4022	102.19181	TurnRight	True		
0	21	304	304	10	4	10	4	Up	Up	4	4	0	109.42287	110.352036	DoNothing	True		3
0	7	333	334	11	3	11	3	Up	Up	4	4	0	50.994614	51.494946	StepForward	True		
0	13	410	410	13	19	13	20	Up	Up	1	0	0	73.4535	73.94283	TurnRight	True		
1	6	297	298	10	28	9	27	Up	Up	2	2	0	75.34711	75.44018	StepForward	True		
1	16	743	744	23	24	24	23	Up	Up	6	6	0	85.23072	85.133514	StepForward	True		
1	18	786	786	26	6	26	6	Up	Up	3	3	0	116.79512	116.342316	TurnLeft	True		
1	7	334	335	11	4	11	4	Up	Up	3	3	0	51.37305	51.82276	StepForward	True		
1	27	36	36	1	6	1	6	Up	Up	4	2	0	94.59135	94.903114	DoNothing	True		1
1	19	147	147	4	27	4	27	Up	Up	2	2	0	44.08615	44.155556	TurnLeft	True		
1	23	411	411	13	21	13	21	Right	Right	7	7	0	46.973194	46.399536	TurnRight	True		
1	22	428	428	17	7	14	8	Up	Up	1	1	0	103.021034	105.2553	DoNothing	True		4
1	28	123	153	4	3	4	3	Right	Right	3	3	0	113.90728	112.30546	StepForward	True		
1	25	545	546	18	5	18	5	Up	Up			0	71.42724	71.35946	StepForward	True		
